,road,class_name,spectral_centroid,mfcc_mean,mfcc_var,zcr,leq
38,CLOSE TO UHURU PARK(1°17_15_S 36°48_55_ E),other,2324.684809291824,-1.885170242132972e-08,1.0000001192092896,0.088806815,0.0
39,DAVIS&SHIRTLIFF KANGUNDO RD(1°15_28_S36°55_14_E),PSV,1718.0129787522976,-2.732110564451773e-08,0.9999999821186065,0.056035228,0.0
40,DAVIS&SHIRTLIFF KANGUNDO RD(1°15_28_S36°55_14_E),SUV,1777.0348580814007,4.987384247812088e-09,1.0000000047683715,0.061344318,0.0
41,DAVIS&SHIRTLIFF KANGUNDO RD(1°15_28_S36°55_14_E),bicycle,1845.1546238876383,1.1366467322915241e-08,1.0000000894069672,0.05657102,0.0
42,DAVIS&SHIRTLIFF KANGUNDO RD(1°15_28_S36°55_14_E),motorcycle,1905.688914083133,2.3408685101422577e-08,0.9999999552965164,0.057973012,0.0
43,DAVIS&SHIRTLIFF KANGUNDO RD(1°15_28_S36°55_14_E),other,1810.2525732953518,2.7861705165221906e-08,1.0000000149011612,0.058136363,0.0
44,ICD ROAD(1°20_6_ S 36°51_38_E),PSV,1775.931663185862,3.7195145815201634e-08,0.9999999105930328,0.070551135,0.0
45,ICD ROAD(1°20_6_ S 36°51_38_E),SUV,1440.185314916988,-1.5637321011636968e-08,0.9999998840125831,0.068748616,0.0
46,ICD ROAD(1°20_6_ S 36°51_38_E),motorcycle,1614.1234333747086,-4.136901251191224e-08,0.9999999006589254,0.04899116,0.0
47,IMAARA MALL (1° 19_ 41_S 36°52_49_E),PSV,1696.7855692159626,1.3384707902019955e-08,0.9999999380111695,0.06473932,0.0
48,IMAARA MALL (1° 19_ 41_S 36°52_49_E),SUV,1509.0969133781077,1.697269179522386e-08,0.999999913904402,0.061026514,0.0
49,IMAARA MALL (1° 19_ 41_S 36°52_49_E),motorcycle,1882.7050932976367,-6.681264753570883e-08,0.999999924139543,0.07391942,0.0
50,IMAARA MALL (1° 19_ 41_S 36°52_49_E),other,2014.1442947416633,-3.312909383860566e-08,0.9999999701976776,0.08307386,0.0
